COD_SAIDA,COD_OP,COD_OS,SKU,NOME_ARQUIVO,ESCOLA,TIRAGEM,PAGINACAO,REGIAO,SEGMENTO,ENSINO,TURNO,MODELO,MATERIAL,SEPARACAO,MIOLO_PAPEL,MIOLO_FORMATO,MIOLO_GRAMATURA,MIOLO_COR,CAPA_TIPO,ACABAMENTO1,REFILE,FORMATO_FINAL,MAQUINARIO,MARCA,DATA_SAIDA,DATA_ENTREGA
PENSI2024-12-13,020820241219100002082,,PENSI2024-12-13fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Cabo Frio,39,8,CG+RL,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-13,2024-12-19
PENSI2024-12-18,020420241219100002090,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Copacabana,52,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002091,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Freguesia,17,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002096,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Lobo Torres,19,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002097,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Madureira,20,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002101,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Recreio 2,18,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002102,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Tijuca 1,48,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002104,,PENSI2024-12-18fcc29dfc084a4ca5276dab988a389bdf05882c2d1ae1fe1b631b991d813ac317,P4 1o Ano Manhã Ciências,Vila da Penha,30,8,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-13,020820241219100002082,,PENSI2024-12-13e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Cabo Frio,39,111,CG+RL,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-13,2024-12-19
PENSI2024-12-18,020420241219100002090,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Copacabana,52,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002091,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Freguesia,17,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002096,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Lobo Torres,19,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002097,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Madureira,20,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002101,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Recreio 2,18,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002102,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Tijuca 1,48,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002104,,PENSI2024-12-18e406e44f8bcd187cbb6ce089bfe96b618ffca1a7b62916d07985afa5a0db0091,P4 1o Ano Manhã Geografia,Vila da Penha,30,111,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-13,020820241219100002082,,PENSI2024-12-1363cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Cabo Frio,39,34,CG+RL,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-13,2024-12-19
PENSI2024-12-18,020420241219100002090,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Copacabana,52,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002091,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Freguesia,17,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002096,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Lobo Torres,19,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002097,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Madureira,20,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002101,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Recreio 2,18,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002102,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Tijuca 1,48,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002104,,PENSI2024-12-1863cbfb7b20031079a4c4ec4e56021dad0d057376188cf6a172bf8dc324fb8306,P4 1o Ano Manhã História,Vila da Penha,30,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-13,020820241219100002082,,PENSI2024-12-13c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Cabo Frio,39,34,CG+RL,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-13,2024-12-19
PENSI2024-12-18,020420241219100002090,,PENSI2024-12-18c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Copacabana,52,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002091,,PENSI2024-12-18c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Freguesia,17,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002096,,PENSI2024-12-18c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Lobo Torres,19,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002097,,PENSI2024-12-18c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Madureira,20,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
PENSI2024-12-18,020420241219100002101,,PENSI2024-12-18c73eeca82c72d1ad446d44a1dbf2a403a7e1fbc6ab8d05185b51d4a703d82fd0,P4 1o Ano Manhã Inglês,Recreio 2,18,34,RJ,EFAI,Regular,,,Prova,1,Offset,A4,75g,1x1,,Grampo,Não,"20,5 x 27,5",NUVERA,PENSI,2024-12-18,2024-12-19
